stock,gap_date,gap_width,gap_day_pl,revert_time,u_curve_effect,u_curve_profit,lowest_day,market_change_20d,Sector
MMM,2019-04-25,-0.09832395704660923,-0.03452465323478782,31,False,,,0.04041524968677268,Industrials
AOS,2001-10-01,-0.14727402761731856,-0.0040000000000000036,1,True,0.0784795397246107,0.0,-0.10217735068726419,Industrials
AOS,2008-12-01,-0.030462982558790652,-0.08901515151515171,2,True,0.05800808437307895,1.0,-0.15445900796710355,Industrials
AYI,2008-07-02,-0.0941409498921405,-0.06063411247396433,26,True,0.15638157822458162,6.0,-0.09927425857898031,Industrials
AYI,2018-01-09,-0.11698912825262786,-0.03689024390243911,8,True,0.055006727554390296,1.0,0.03617731542582092,Industrials
ADBE,2002-06-14,-0.0983801724448935,-0.03860294117647056,31,False,,,-0.08558045322192676,Information Technology
AMD,2001-07-06,-0.1794692737430168,-0.11489361702127654,31,False,,,-0.0600156757361997,Information Technology
AMD,2009-07-22,-0.13235294117647056,0.0028248587570620654,1,True,0.012693935119887145,0.0,0.060211554109032006,Information Technology
AFL,2001-07-25,-0.11298575331251048,0.0071428571428571175,1,True,0.05007197408932776,0.0,-0.01961013190148253,Financials
A,2007-08-15,-0.13469657468536134,0.030235660293463917,1,True,0.02715439966000537,0.0,-0.09049624308479887,Health Care
A,2019-05-15,-0.11378400666721578,0.004156769596199483,1,True,0.026721324969954472,0.0,-0.015170977260892227,Health Care
AKAM,2009-07-30,-0.18382352941176472,-0.008408408408408174,3,True,0.02089009990917341,1.0,0.09865287794257727,Information Technology
AKAM,2011-02-10,-0.13127734944780167,-0.022547373470856225,2,True,0.02134885977680744,0.0,0.030779184767538492,Information Technology
AKAM,2013-02-07,-0.18710918710918711,0.04319526627218928,1,True,0.025774688676513193,0.0,0.026358506608951116,Information Technology
AKAM,2015-10-28,-0.1805426869622766,0.016152479405588727,4,True,0.03382750430010644,2.0,0.08752943815184477,Information Technology
